minute,slippage_per_share,x_t_allocated
2025-04-03 15:48:00+00:00,0.08,1
2025-04-03 15:49:00+00:00,0.045,2
2025-04-03 15:50:00+00:00,0.025,4
2025-04-03 15:51:00+00:00,0.02,5
2025-04-03 15:52:00+00:00,0.09,1
2025-04-03 15:53:00+00:00,0.035,3
2025-04-03 15:54:00+00:00,0.05,2
2025-04-03 15:55:00+00:00,0.05,2
2025-04-03 15:56:00+00:00,0.02,5
2025-04-03 15:57:00+00:00,0.13,1
2025-04-03 15:58:00+00:00,0.055,2
2025-04-03 15:59:00+00:00,0.1,1
2025-04-03 16:00:00+00:00,0.03,3
2025-04-03 16:01:00+00:00,0.06,2
2025-04-03 16:02:00+00:00,0.045,2
2025-04-03 16:03:00+00:00,0.075,1
2025-04-03 16:04:00+00:00,0.065,1
2025-04-03 16:05:00+00:00,0.065,1
2025-04-03 16:06:00+00:00,0.2,0
2025-04-03 16:07:00+00:00,0.075,1
2025-04-03 16:08:00+00:00,0.115,1
2025-04-03 16:09:00+00:00,0.177,1
2025-04-03 16:10:00+00:00,0.175,1
2025-04-03 16:11:00+00:00,0.105,1
2025-04-03 16:12:00+00:00,0.05,2
2025-04-03 16:13:00+00:00,0.145,1
2025-04-03 16:14:00+00:00,0.05,2
2025-04-03 16:15:00+00:00,0.135,1
2025-04-03 16:16:00+00:00,0.069,1
2025-04-03 16:17:00+00:00,0.05,2
2025-04-03 16:18:00+00:00,0.079,1
2025-04-03 16:19:00+00:00,0.095,1
2025-04-03 16:20:00+00:00,0.095,1
2025-04-03 16:21:00+00:00,0.165,1
2025-04-03 16:22:00+00:00,0.15,1
2025-04-03 16:23:00+00:00,0.135,1
2025-04-03 16:24:00+00:00,0.135,1
2025-04-03 16:25:00+00:00,0.075,1
2025-04-03 16:26:00+00:00,0.15,1
2025-04-03 16:27:00+00:00,0.14,1
2025-04-03 16:28:00+00:00,0.165,1
2025-04-03 16:29:00+00:00,0.08,1
2025-04-03 16:30:00+00:00,0.16,1
2025-04-03 16:31:00+00:00,0.095,1
2025-04-03 16:32:00+00:00,0.215,0
2025-04-03 16:33:00+00:00,0.115,1
2025-04-03 16:34:00+00:00,0.085,1
2025-04-03 16:35:00+00:00,0.24,0
2025-04-03 16:36:00+00:00,0.035,3
2025-04-03 16:37:00+00:00,0.32,0
2025-04-03 16:38:00+00:00,0.075,1
2025-04-03 16:39:00+00:00,0.145,1
2025-04-03 16:40:00+00:00,0.175,1
2025-04-03 16:41:00+00:00,0.27,0
2025-04-03 16:42:00+00:00,0.25,0
2025-04-03 16:43:00+00:00,0.125,1
2025-04-03 16:44:00+00:00,0.07,1
2025-04-03 16:45:00+00:00,0.07,1
2025-04-03 16:46:00+00:00,0.075,1
